regcode,regname,provcode,provname,citycode,cityname,registered,accredited,unregistered,drafted,for_validation,back_to_encoder,validated,approved,total_stepzero
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806026,PAGSANGHAN,51,23,0,74,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08048,"NORTHERN SAMAR",0804814,PALAPAG,114,166,0,130,165,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803739,PALO,0,203,120,203,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803740,PALOMPON,112,22,227,134,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08048,"NORTHERN SAMAR",0804815,PAMBUJAN,194,71,0,265,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806022,PARANAS,65,54,0,118,0,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803741,PASTRANA,87,35,0,122,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806013,PINABACDAO,254,295,246,9,127,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08064,"SOUTHERN LEYTE",0806411,PINTUYAN,56,0,11,47,9,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08026,"EASTERN SAMAR",0802618,QUINAPONDAN,0,50,82,50,0,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08048,"NORTHERN SAMAR",0804816,ROSARIO,94,35,0,30,39,11,12,20,1
08,"REGION VIII (EASTERN VISAYAS)",08064,"SOUTHERN LEYTE",0806412,"SAINT BERNARD",58,115,41,173,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08026,"EASTERN SAMAR",0802619,SALCEDO,2,236,36,211,23,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08048,"NORTHERN SAMAR",0804817,"SAN ANTONIO",21,52,10,60,12,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08064,"SOUTHERN LEYTE",0806413,"SAN FRANCISCO",36,65,0,62,1,0,3,0,1
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803742,"SAN ISIDRO",87,0,38,87,0,0,0,0,1
