cadre,geo_code,geo_level,lgu_hired,doh_hired,total,population_2025,households_2025,source_psgc,source_area_name,geo_resolution
midwife,13809,province,192,13,205,260395,66447,1380900000,City of Navotas,direct
dentist,13809,province,67,0,67,260395,66447,1380900000,City of Navotas,direct
med_tech,13809,province,71,0,71,260395,66447,1380900000,City of Navotas,direct
nutritionist,13809,province,12,0,12,260395,66447,1380900000,City of Navotas,direct
sanitary_engineer,13809,province,0,0,0,260395,66447,1380900000,City of Navotas,direct
sanitary_inspector,13809,province,0,44,44,260395,66447,1380900000,City of Navotas,direct
physician,13810,province,78,0,78,716560,189232,1381000000,City of Parañaque,direct
nurse,13810,province,145,5,150,716560,189232,1381000000,City of Parañaque,direct
midwife,13810,province,96,1,97,716560,189232,1381000000,City of Parañaque,direct
dentist,13810,province,49,0,49,716560,189232,1381000000,City of Parañaque,direct
med_tech,13810,province,27,1,28,716560,189232,1381000000,City of Parañaque,direct
nutritionist,13810,province,15,1,16,716560,189232,1381000000,City of Parañaque,direct
sanitary_engineer,13810,province,2,0,2,716560,189232,1381000000,City of Parañaque,direct
sanitary_inspector,13810,province,0,34,34,716560,189232,1381000000,City of Parañaque,direct
physician,13811,province,44,0,44,452062,130907,1381100000,Pasay City,direct
nurse,13811,province,74,9,83,452062,130907,1381100000,Pasay City,direct
midwife,13811,province,64,4,68,452062,130907,1381100000,Pasay City,direct
dentist,13811,province,26,0,26,452062,130907,1381100000,Pasay City,direct
med_tech,13811,province,19,1,20,452062,130907,1381100000,Pasay City,direct
nutritionist,13811,province,9,0,9,452062,130907,1381100000,Pasay City,direct
sanitary_engineer,13811,province,0,0,0,452062,130907,1381100000,Pasay City,direct
sanitary_inspector,13811,province,0,4,4,452062,130907,1381100000,Pasay City,direct
physician,13812,province,10,0,10,842708,223378,1381200000,City of Pasig,direct
nurse,13812,province,11,5,16,842708,223378,1381200000,City of Pasig,direct
midwife,13812,province,14,3,17,842708,223378,1381200000,City of Pasig,direct
dentist,13812,province,11,0,11,842708,223378,1381200000,City of Pasig,direct
med_tech,13812,province,8,1,9,842708,223378,1381200000,City of Pasig,direct
nutritionist,13812,province,3,0,3,842708,223378,1381200000,City of Pasig,direct
sanitary_engineer,13812,province,0,0,0,842708,223378,1381200000,City of Pasig,direct
sanitary_inspector,13812,province,0,7,7,842708,223378,1381200000,City of Pasig,direct
physician,13813,province,135,0,135,3079478,768524,1381300000,Quezon City,direct
nurse,13813,province,161,20,181,3079478,768524,1381300000,Quezon City,direct
midwife,13813,province,77,13,90,3079478,768524,1381300000,Quezon City,direct
dentist,13813,province,111,0,111,3079478,768524,1381300000,Quezon City,direct
med_tech,13813,province,59,1,60,3079478,768524,1381300000,Quezon City,direct
nutritionist,13813,province,5,1,6,3079478,768524,1381300000,Quezon City,direct
sanitary_engineer,13813,province,1,0,1,3079478,768524,1381300000,Quezon City,direct
sanitary_inspector,13813,province,0,61,61,3079478,768524,1381300000,Quezon City,direct
physician,13814,province,37,0,37,128083,31953,1381400000,City of San Juan,direct
nurse,13814,province,45,8,53,128083,31953,1381400000,City of San Juan,direct
midwife,13814,province,62,3,65,128083,31953,1381400000,City of San Juan,direct
dentist,13814,province,26,0,26,128083,31953,1381400000,City of San Juan,direct
med_tech,13814,province,17,2,19,128083,31953,1381400000,City of San Juan,direct
nutritionist,13814,province,8,0,8,128083,31953,1381400000,City of San Juan,direct
sanitary_engineer,13814,province,0,0,0,128083,31953,1381400000,City of San Juan,direct
sanitary_inspector,13814,province,0,15,15,128083,31953,1381400000,City of San Juan,direct
physician,13815,province,35,0,35,1271871,357153,1381500000,City of Taguig,direct
nurse,13815,province,49,8,57,1271871,357153,1381500000,City of Taguig,direct
midwife,13815,province,58,4,62,1271871,357153,1381500000,City of Taguig,direct
dentist,13815,province,26,0,26,1271871,357153,1381500000,City of Taguig,direct
med_tech,13815,province,17,1,18,1271871,357153,1381500000,City of Taguig,direct
nutritionist,13815,province,15,1,16,1271871,357153,1381500000,City of Taguig,direct
sanitary_engineer,13815,province,0,0,0,1271871,357153,1381500000,City of Taguig,direct
sanitary_inspector,13815,province,0,23,23,1271871,357153,1381500000,City of Taguig,direct
physician,13816,province,31,0,31,745850,201360,1381600000,City of Valenzuela,direct
nurse,13816,province,78,12,90,745850,201360,1381600000,City of Valenzuela,direct
midwife,13816,province,38,3,41,745850,201360,1381600000,City of Valenzuela,direct
dentist,13816,province,20,0,20,745850,201360,1381600000,City of Valenzuela,direct
med_tech,13816,province,25,1,26,745850,201360,1381600000,City of Valenzuela,direct
nutritionist,13816,province,9,0,9,745850,201360,1381600000,City of Valenzuela,direct
sanitary_engineer,13816,province,0,0,0,745850,201360,1381600000,City of Valenzuela,direct
sanitary_inspector,13816,province,0,24,24,745850,201360,1381600000,City of Valenzuela,direct
physician,1381701,citymun,32,0,32,66990,16265,1381701000,Pateros,direct
nurse,1381701,citymun,29,0,29,66990,16265,1381701000,Pateros,direct
midwife,1381701,citymun,46,0,46,66990,16265,1381701000,Pateros,direct
dentist,1381701,citymun,16,0,16,66990,16265,1381701000,Pateros,direct
med_tech,1381701,citymun,16,0,16,66990,16265,1381701000,Pateros,direct
nutritionist,1381701,citymun,7,0,7,66990,16265,1381701000,Pateros,direct
