cadre,geo_code,geo_level,lgu_hired,doh_hired,total,population_2025,households_2025,source_psgc,source_area_name,geo_resolution
sanitary_inspector,0102803,citymun,1,0,1,32541,8022,0102803000,Badoc,direct
physician,0102804,citymun,1,1,2,15023,4026,0102804000,Bangui,direct
nurse,0102804,citymun,8,2,10,15023,4026,0102804000,Bangui,direct
midwife,0102804,citymun,6,1,7,15023,4026,0102804000,Bangui,direct
dentist,0102804,citymun,0,0,0,15023,4026,0102804000,Bangui,direct
med_tech,0102804,citymun,1,0,1,15023,4026,0102804000,Bangui,direct
nutritionist,0102804,citymun,1,0,1,15023,4026,0102804000,Bangui,direct
sanitary_engineer,0102804,citymun,0,0,0,15023,4026,0102804000,Bangui,direct
sanitary_inspector,0102804,citymun,1,0,1,15023,4026,0102804000,Bangui,direct
physician,0102805,citymun,2,0,2,55706,14023,0102805000,City of Batac,direct
nurse,0102805,citymun,11,5,16,55706,14023,0102805000,City of Batac,direct
midwife,0102805,citymun,11,1,12,55706,14023,0102805000,City of Batac,direct
dentist,0102805,citymun,0,0,0,55706,14023,0102805000,City of Batac,direct
med_tech,0102805,citymun,4,0,4,55706,14023,0102805000,City of Batac,direct
nutritionist,0102805,citymun,1,0,1,55706,14023,0102805000,City of Batac,direct
sanitary_engineer,0102805,citymun,0,0,0,55706,14023,0102805000,City of Batac,direct
sanitary_inspector,0102805,citymun,4,0,4,55706,14023,0102805000,City of Batac,direct
physician,0102806,citymun,1,0,1,10761,2832,0102806000,Burgos,direct
nurse,0102806,citymun,1,2,3,10761,2832,0102806000,Burgos,direct
midwife,0102806,citymun,4,1,5,10761,2832,0102806000,Burgos,direct
dentist,0102806,citymun,0,0,0,10761,2832,0102806000,Burgos,direct
med_tech,0102806,citymun,1,0,1,10761,2832,0102806000,Burgos,direct
nutritionist,0102806,citymun,0,0,0,10761,2832,0102806000,Burgos,direct
sanitary_engineer,0102806,citymun,0,0,0,10761,2832,0102806000,Burgos,direct
sanitary_inspector,0102806,citymun,1,0,1,10761,2832,0102806000,Burgos,direct
physician,0102807,citymun,0,1,1,1608,344,0102807000,Carasi,direct
nurse,0102807,citymun,1,2,3,1608,344,0102807000,Carasi,direct
midwife,0102807,citymun,3,0,3,1608,344,0102807000,Carasi,direct
dentist,0102807,citymun,0,0,0,1608,344,0102807000,Carasi,direct
med_tech,0102807,citymun,0,0,0,1608,344,0102807000,Carasi,direct
nutritionist,0102807,citymun,1,0,1,1608,344,0102807000,Carasi,direct
sanitary_engineer,0102807,citymun,0,0,0,1608,344,0102807000,Carasi,direct
sanitary_inspector,0102807,citymun,1,0,1,1608,344,0102807000,Carasi,direct
physician,0102808,citymun,0,1,1,12215,3088,0102808000,Currimao,direct
nurse,0102808,citymun,9,2,11,12215,3088,0102808000,Currimao,direct
midwife,0102808,citymun,2,0,2,12215,3088,0102808000,Currimao,direct
dentist,0102808,citymun,0,0,0,12215,3088,0102808000,Currimao,direct
med_tech,0102808,citymun,0,0,0,12215,3088,0102808000,Currimao,direct
nutritionist,0102808,citymun,1,0,1,12215,3088,0102808000,Currimao,direct
sanitary_engineer,0102808,citymun,0,0,0,12215,3088,0102808000,Currimao,direct
sanitary_inspector,0102808,citymun,1,0,1,12215,3088,0102808000,Currimao,direct
physician,0102809,citymun,1,1,2,40355,9979,0102809000,Dingras,direct
nurse,0102809,citymun,3,5,8,40355,9979,0102809000,Dingras,direct
midwife,0102809,citymun,7,1,8,40355,9979,0102809000,Dingras,direct
dentist,0102809,citymun,0,0,0,40355,9979,0102809000,Dingras,direct
med_tech,0102809,citymun,1,0,1,40355,9979,0102809000,Dingras,direct
nutritionist,0102809,citymun,1,0,1,40355,9979,0102809000,Dingras,direct
sanitary_engineer,0102809,citymun,0,0,0,40355,9979,0102809000,Dingras,direct
sanitary_inspector,0102809,citymun,1,0,1,40355,9979,0102809000,Dingras,direct
physician,0102810,citymun,1,0,1,3148,701,0102810000,Dumalneg,direct
nurse,0102810,citymun,1,3,4,3148,701,0102810000,Dumalneg,direct
midwife,0102810,citymun,2,1,3,3148,701,0102810000,Dumalneg,direct
dentist,0102810,citymun,0,0,0,3148,701,0102810000,Dumalneg,direct
med_tech,0102810,citymun,0,0,0,3148,701,0102810000,Dumalneg,direct
nutritionist,0102810,citymun,0,0,0,3148,701,0102810000,Dumalneg,direct
sanitary_engineer,0102810,citymun,0,0,0,3148,701,0102810000,Dumalneg,direct
sanitary_inspector,0102810,citymun,0,0,0,3148,701,0102810000,Dumalneg,direct
physician,0102811,citymun,1,1,2,19297,4899,0102811000,Banna,direct
nurse,0102811,citymun,7,3,10,19297,4899,0102811000,Banna,direct
midwife,0102811,citymun,9,1,10,19297,4899,0102811000,Banna,direct
dentist,0102811,citymun,0,0,0,19297,4899,0102811000,Banna,direct
med_tech,0102811,citymun,1,1,2,19297,4899,0102811000,Banna,direct
nutritionist,0102811,citymun,0,0,0,19297,4899,0102811000,Banna,direct
sanitary_engineer,0102811,citymun,0,0,0,19297,4899,0102811000,Banna,direct
sanitary_inspector,0102811,citymun,1,0,1,19297,4899,0102811000,Banna,direct
physician,0102812,citymun,2,0,2,112527,28086,0102812000,City of Laoag,direct
nurse,0102812,citymun,12,10,22,112527,28086,0102812000,City of Laoag,direct
midwife,0102812,citymun,23,0,23,112527,28086,0102812000,City of Laoag,direct
dentist,0102812,citymun,3,0,3,112527,28086,0102812000,City of Laoag,direct
med_tech,0102812,citymun,1,1,2,112527,28086,0102812000,City of Laoag,direct
nutritionist,0102812,citymun,1,0,1,112527,28086,0102812000,City of Laoag,direct
sanitary_engineer,0102812,citymun,0,0,0,112527,28086,0102812000,City of Laoag,direct
sanitary_inspector,0102812,citymun,5,0,5,112527,28086,0102812000,City of Laoag,direct
physician,0102813,citymun,1,0,1,18142,4709,0102813000,Marcos,direct
nurse,0102813,citymun,2,3,5,18142,4709,0102813000,Marcos,direct
midwife,0102813,citymun,2,1,3,18142,4709,0102813000,Marcos,direct
dentist,0102813,citymun,0,0,0,18142,4709,0102813000,Marcos,direct
med_tech,0102813,citymun,1,0,1,18142,4709,0102813000,Marcos,direct
nutritionist,0102813,citymun,0,0,0,18142,4709,0102813000,Marcos,direct
sanitary_engineer,0102813,citymun,0,0,0,18142,4709,0102813000,Marcos,direct
sanitary_inspector,0102813,citymun,1,0,1,18142,4709,0102813000,Marcos,direct
physician,0102814,citymun,1,1,2,12106,3022,0102814000,Nueva Era,direct
nurse,0102814,citymun,1,2,3,12106,3022,0102814000,Nueva Era,direct
midwife,0102814,citymun,3,0,3,12106,3022,0102814000,Nueva Era,direct
dentist,0102814,citymun,0,0,0,12106,3022,0102814000,Nueva Era,direct
med_tech,0102814,citymun,1,0,1,12106,3022,0102814000,Nueva Era,direct
nutritionist,0102814,citymun,1,0,1,12106,3022,0102814000,Nueva Era,direct
sanitary_engineer,0102814,citymun,0,0,0,12106,3022,0102814000,Nueva Era,direct
sanitary_inspector,0102814,citymun,1,0,1,12106,3022,0102814000,Nueva Era,direct
physician,0102815,citymun,1,1,2,25429,6775,0102815000,Pagudpud,direct
nurse,0102815,citymun,12,2,14,25429,6775,0102815000,Pagudpud,direct
midwife,0102815,citymun,7,0,7,25429,6775,0102815000,Pagudpud,direct
dentist,0102815,citymun,0,0,0,25429,6775,0102815000,Pagudpud,direct
med_tech,0102815,citymun,1,0,1,25429,6775,0102815000,Pagudpud,direct
nutritionist,0102815,citymun,0,0,0,25429,6775,0102815000,Pagudpud,direct
sanitary_engineer,0102815,citymun,0,0,0,25429,6775,0102815000,Pagudpud,direct
sanitary_inspector,0102815,citymun,1,0,1,25429,6775,0102815000,Pagudpud,direct
physician,0102816,citymun,0,0,0,25001,6233,0102816000,Paoay,direct
nurse,0102816,citymun,7,4,11,25001,6233,0102816000,Paoay,direct
midwife,0102816,citymun,4,1,5,25001,6233,0102816000,Paoay,direct
dentist,0102816,citymun,0,0,0,25001,6233,0102816000,Paoay,direct
med_tech,0102816,citymun,2,0,2,25001,6233,0102816000,Paoay,direct
nutritionist,0102816,citymun,0,0,0,25001,6233,0102816000,Paoay,direct
sanitary_engineer,0102816,citymun,0,0,0,25001,6233,0102816000,Paoay,direct
sanitary_inspector,0102816,citymun,1,0,1,25001,6233,0102816000,Paoay,direct
physician,0102817,citymun,1,0,1,29779,7524,0102817000,Pasuquin,direct
nurse,0102817,citymun,10,3,13,29779,7524,0102817000,Pasuquin,direct
midwife,0102817,citymun,6,0,6,29779,7524,0102817000,Pasuquin,direct
dentist,0102817,citymun,0,0,0,29779,7524,0102817000,Pasuquin,direct
med_tech,0102817,citymun,1,1,2,29779,7524,0102817000,Pasuquin,direct
nutritionist,0102817,citymun,0,0,0,29779,7524,0102817000,Pasuquin,direct
sanitary_engineer,0102817,citymun,0,0,0,29779,7524,0102817000,Pasuquin,direct
sanitary_inspector,0102817,citymun,1,0,1,29779,7524,0102817000,Pasuquin,direct
physician,0102818,citymun,1,1,2,22526,5498,0102818000,Piddig,direct
nurse,0102818,citymun,1,2,3,22526,5498,0102818000,Piddig,direct
midwife,0102818,citymun,4,0,4,22526,5498,0102818000,Piddig,direct
dentist,0102818,citymun,0,0,0,22526,5498,0102818000,Piddig,direct
med_tech,0102818,citymun,1,0,1,22526,5498,0102818000,Piddig,direct
nutritionist,0102818,citymun,0,0,0,22526,5498,0102818000,Piddig,direct
sanitary_engineer,0102818,citymun,0,0,0,22526,5498,0102818000,Piddig,direct
sanitary_inspector,0102818,citymun,1,0,1,22526,5498,0102818000,Piddig,direct
physician,0102819,citymun,1,0,1,17626,4374,0102819000,Pinili,direct
nurse,0102819,citymun,2,2,4,17626,4374,0102819000,Pinili,direct
midwife,0102819,citymun,3,1,4,17626,4374,0102819000,Pinili,direct
dentist,0102819,citymun,0,0,0,17626,4374,0102819000,Pinili,direct
med_tech,0102819,citymun,1,0,1,17626,4374,0102819000,Pinili,direct
nutritionist,0102819,citymun,0,0,0,17626,4374,0102819000,Pinili,direct
sanitary_engineer,0102819,citymun,0,0,0,17626,4374,0102819000,Pinili,direct
sanitary_inspector,0102819,citymun,1,0,1,17626,4374,0102819000,Pinili,direct
physician,0102820,citymun,1,0,1,39172,9466,0102820000,San Nicolas,direct
nurse,0102820,citymun,6,4,10,39172,9466,0102820000,San Nicolas,direct
midwife,0102820,citymun,6,1,7,39172,9466,0102820000,San Nicolas,direct
dentist,0102820,citymun,0,0,0,39172,9466,0102820000,San Nicolas,direct
med_tech,0102820,citymun,4,0,4,39172,9466,0102820000,San Nicolas,direct
nutritionist,0102820,citymun,0,0,0,39172,9466,0102820000,San Nicolas,direct
sanitary_engineer,0102820,citymun,0,0,0,39172,9466,0102820000,San Nicolas,direct
sanitary_inspector,0102820,citymun,1,0,1,39172,9466,0102820000,San Nicolas,direct
physician,0102821,citymun,1,0,1,25186,6442,0102821000,Sarrat,direct
nurse,0102821,citymun,7,2,9,25186,6442,0102821000,Sarrat,direct
midwife,0102821,citymun,6,0,6,25186,6442,0102821000,Sarrat,direct
dentist,0102821,citymun,0,0,0,25186,6442,0102821000,Sarrat,direct
med_tech,0102821,citymun,2,0,2,25186,6442,0102821000,Sarrat,direct
nutritionist,0102821,citymun,0,0,0,25186,6442,0102821000,Sarrat,direct
sanitary_engineer,0102821,citymun,0,0,0,25186,6442,0102821000,Sarrat,direct
sanitary_inspector,0102821,citymun,1,0,1,25186,6442,0102821000,Sarrat,direct
physician,0102822,citymun,1,1,2,24879,5959,0102822000,Solsona,direct
nurse,0102822,citymun,9,5,14,24879,5959,0102822000,Solsona,direct
midwife,0102822,citymun,4,1,5,24879,5959,0102822000,Solsona,direct
dentist,0102822,citymun,0,0,0,24879,5959,0102822000,Solsona,direct
med_tech,0102822,citymun,2,0,2,24879,5959,0102822000,Solsona,direct
nutritionist,0102822,citymun,0,0,0,24879,5959,0102822000,Solsona,direct
sanitary_engineer,0102822,citymun,0,0,0,24879,5959,0102822000,Solsona,direct
sanitary_inspector,0102822,citymun,1,0,1,24879,5959,0102822000,Solsona,direct
physician,0102823,citymun,1,1,2,33340,8422,0102823000,Vintar,direct
nurse,0102823,citymun,8,3,11,33340,8422,0102823000,Vintar,direct
midwife,0102823,citymun,11,0,11,33340,8422,0102823000,Vintar,direct
dentist,0102823,citymun,0,0,0,33340,8422,0102823000,Vintar,direct
med_tech,0102823,citymun,1,0,1,33340,8422,0102823000,Vintar,direct
nutritionist,0102823,citymun,1,0,1,33340,8422,0102823000,Vintar,direct
sanitary_engineer,0102823,citymun,0,0,0,33340,8422,0102823000,Vintar,direct
sanitary_inspector,0102823,citymun,2,0,2,33340,8422,0102823000,Vintar,direct
physician,01029,province,52,10,62,707947,172492,0102900000,Ilocos Sur,direct
nurse,01029,province,105,138,243,707947,172492,0102900000,Ilocos Sur,direct
midwife,01029,province,210,26,236,707947,172492,0102900000,Ilocos Sur,direct
dentist,01029,province,6,1,7,707947,172492,0102900000,Ilocos Sur,direct
med_tech,01029,province,58,3,61,707947,172492,0102900000,Ilocos Sur,direct
nutritionist,01029,province,1,0,1,707947,172492,0102900000,Ilocos Sur,direct
sanitary_engineer,01029,province,4,0,4,707947,172492,0102900000,Ilocos Sur,direct
sanitary_inspector,01029,province,41,0,41,707947,172492,0102900000,Ilocos Sur,direct
physician,0102901,citymun,1,0,1,7361,1648,0102901000,Alilem,direct
nurse,0102901,citymun,4,3,7,7361,1648,0102901000,Alilem,direct
midwife,0102901,citymun,5,0,5,7361,1648,0102901000,Alilem,direct
dentist,0102901,citymun,0,0,0,7361,1648,0102901000,Alilem,direct
med_tech,0102901,citymun,1,0,1,7361,1648,0102901000,Alilem,direct
nutritionist,0102901,citymun,0,0,0,7361,1648,0102901000,Alilem,direct
sanitary_engineer,0102901,citymun,0,0,0,7361,1648,0102901000,Alilem,direct
sanitary_inspector,0102901,citymun,1,0,1,7361,1648,0102901000,Alilem,direct
physician,0102902,citymun,1,0,1,7931,1929,0102902000,Banayoyo,direct
nurse,0102902,citymun,3,2,5,7931,1929,0102902000,Banayoyo,direct
midwife,0102902,citymun,3,3,6,7931,1929,0102902000,Banayoyo,direct
dentist,0102902,citymun,0,0,0,7931,1929,0102902000,Banayoyo,direct
med_tech,0102902,citymun,1,0,1,7931,1929,0102902000,Banayoyo,direct
nutritionist,0102902,citymun,0,0,0,7931,1929,0102902000,Banayoyo,direct
sanitary_engineer,0102902,citymun,0,0,0,7931,1929,0102902000,Banayoyo,direct
sanitary_inspector,0102902,citymun,1,0,1,7931,1929,0102902000,Banayoyo,direct
physician,0102903,citymun,3,0,3,37275,9281,0102903000,Bantay,direct
nurse,0102903,citymun,14,5,19,37275,9281,0102903000,Bantay,direct
midwife,0102903,citymun,9,0,9,37275,9281,0102903000,Bantay,direct
dentist,0102903,citymun,1,0,1,37275,9281,0102903000,Bantay,direct
med_tech,0102903,citymun,2,0,2,37275,9281,0102903000,Bantay,direct
nutritionist,0102903,citymun,0,0,0,37275,9281,0102903000,Bantay,direct
sanitary_engineer,0102903,citymun,0,0,0,37275,9281,0102903000,Bantay,direct
sanitary_inspector,0102903,citymun,2,0,2,37275,9281,0102903000,Bantay,direct
physician,0102904,citymun,1,1,2,12796,3136,0102904000,Burgos,direct
nurse,0102904,citymun,1,3,4,12796,3136,0102904000,Burgos,direct
midwife,0102904,citymun,7,2,9,12796,3136,0102904000,Burgos,direct
dentist,0102904,citymun,0,0,0,12796,3136,0102904000,Burgos,direct
med_tech,0102904,citymun,1,0,1,12796,3136,0102904000,Burgos,direct
nutritionist,0102904,citymun,0,0,0,12796,3136,0102904000,Burgos,direct
sanitary_engineer,0102904,citymun,0,0,0,12796,3136,0102904000,Burgos,direct
sanitary_inspector,0102904,citymun,1,0,1,12796,3136,0102904000,Burgos,direct
physician,0102905,citymun,1,0,1,39306,9268,0102905000,Cabugao,direct
nurse,0102905,citymun,1,5,6,39306,9268,0102905000,Cabugao,direct
midwife,0102905,citymun,7,1,8,39306,9268,0102905000,Cabugao,direct
dentist,0102905,citymun,0,0,0,39306,9268,0102905000,Cabugao,direct
med_tech,0102905,citymun,2,0,2,39306,9268,0102905000,Cabugao,direct
nutritionist,0102905,citymun,0,0,0,39306,9268,0102905000,Cabugao,direct
sanitary_engineer,0102905,citymun,0,0,0,39306,9268,0102905000,Cabugao,direct
sanitary_inspector,0102905,citymun,1,0,1,39306,9268,0102905000,Cabugao,direct
physician,0102906,citymun,4,0,4,61498,15140,0102906000,City of Candon,direct
nurse,0102906,citymun,7,4,11,61498,15140,0102906000,City of Candon,direct
midwife,0102906,citymun,14,0,14,61498,15140,0102906000,City of Candon,direct
dentist,0102906,citymun,1,0,1,61498,15140,0102906000,City of Candon,direct
med_tech,0102906,citymun,4,0,4,61498,15140,0102906000,City of Candon,direct
nutritionist,0102906,citymun,1,0,1,61498,15140,0102906000,City of Candon,direct
sanitary_engineer,0102906,citymun,0,0,0,61498,15140,0102906000,City of Candon,direct
sanitary_inspector,0102906,citymun,4,0,4,61498,15140,0102906000,City of Candon,direct
physician,0102907,citymun,1,0,1,19578,4839,0102907000,Caoayan,direct
nurse,0102907,citymun,1,5,6,19578,4839,0102907000,Caoayan,direct
midwife,0102907,citymun,4,0,4,19578,4839,0102907000,Caoayan,direct
dentist,0102907,citymun,0,0,0,19578,4839,0102907000,Caoayan,direct
med_tech,0102907,citymun,2,0,2,19578,4839,0102907000,Caoayan,direct
nutritionist,0102907,citymun,0,0,0,19578,4839,0102907000,Caoayan,direct
sanitary_engineer,0102907,citymun,0,0,0,19578,4839,0102907000,Caoayan,direct
sanitary_inspector,0102907,citymun,1,0,1,19578,4839,0102907000,Caoayan,direct
physician,0102908,citymun,2,1,3,20160,4532,0102908000,Cervantes,direct
nurse,0102908,citymun,1,4,5,20160,4532,0102908000,Cervantes,direct
midwife,0102908,citymun,12,1,13,20160,4532,0102908000,Cervantes,direct
dentist,0102908,citymun,1,0,1,20160,4532,0102908000,Cervantes,direct
med_tech,0102908,citymun,1,0,1,20160,4532,0102908000,Cervantes,direct
nutritionist,0102908,citymun,0,0,0,20160,4532,0102908000,Cervantes,direct
sanitary_engineer,0102908,citymun,0,0,0,20160,4532,0102908000,Cervantes,direct
sanitary_inspector,0102908,citymun,2,0,2,20160,4532,0102908000,Cervantes,direct
physician,0102909,citymun,1,0,1,10244,2496,0102909000,Galimuyod,direct
nurse,0102909,citymun,2,4,6,10244,2496,0102909000,Galimuyod,direct
midwife,0102909,citymun,7,1,8,10244,2496,0102909000,Galimuyod,direct
dentist,0102909,citymun,0,0,0,10244,2496,0102909000,Galimuyod,direct
med_tech,0102909,citymun,1,0,1,10244,2496,0102909000,Galimuyod,direct
nutritionist,0102909,citymun,0,0,0,10244,2496,0102909000,Galimuyod,direct
sanitary_engineer,0102909,citymun,0,0,0,10244,2496,0102909000,Galimuyod,direct
sanitary_inspector,0102909,citymun,1,0,1,10244,2496,0102909000,Galimuyod,direct
physician,0102910,citymun,1,1,2,4472,956,0102910000,Gregorio del Pilar,direct
nurse,0102910,citymun,3,4,7,4472,956,0102910000,Gregorio del Pilar,direct
midwife,0102910,citymun,2,1,3,4472,956,0102910000,Gregorio del Pilar,direct
dentist,0102910,citymun,0,0,0,4472,956,0102910000,Gregorio del Pilar,direct
med_tech,0102910,citymun,1,0,1,4472,956,0102910000,Gregorio del Pilar,direct
nutritionist,0102910,citymun,0,0,0,4472,956,0102910000,Gregorio del Pilar,direct
sanitary_engineer,0102910,citymun,0,0,0,4472,956,0102910000,Gregorio del Pilar,direct
sanitary_inspector,0102910,citymun,1,0,1,4472,956,0102910000,Gregorio del Pilar,direct
physician,0102911,citymun,1,0,1,4705,1072,0102911000,Lidlidda,direct
nurse,0102911,citymun,1,3,4,4705,1072,0102911000,Lidlidda,direct
midwife,0102911,citymun,2,2,4,4705,1072,0102911000,Lidlidda,direct
dentist,0102911,citymun,0,0,0,4705,1072,0102911000,Lidlidda,direct
med_tech,0102911,citymun,1,0,1,4705,1072,0102911000,Lidlidda,direct
nutritionist,0102911,citymun,0,0,0,4705,1072,0102911000,Lidlidda,direct
sanitary_engineer,0102911,citymun,0,0,0,4705,1072,0102911000,Lidlidda,direct
sanitary_inspector,0102911,citymun,1,0,1,4705,1072,0102911000,Lidlidda,direct
physician,0102912,citymun,2,0,2,31438,7870,0102912000,Magsingal,direct
nurse,0102912,citymun,3,6,9,31438,7870,0102912000,Magsingal,direct
midwife,0102912,citymun,9,0,9,31438,7870,0102912000,Magsingal,direct
dentist,0102912,citymun,0,0,0,31438,7870,0102912000,Magsingal,direct
med_tech,0102912,citymun,1,0,1,31438,7870,0102912000,Magsingal,direct
nutritionist,0102912,citymun,0,0,0,31438,7870,0102912000,Magsingal,direct
sanitary_engineer,0102912,citymun,2,0,2,31438,7870,0102912000,Magsingal,direct
sanitary_inspector,0102912,citymun,1,0,1,31438,7870,0102912000,Magsingal,direct
physician,0102913,citymun,1,0,1,5465,1361,0102913000,Nagbukel,direct
nurse,0102913,citymun,1,3,4,5465,1361,0102913000,Nagbukel,direct
midwife,0102913,citymun,2,1,3,5465,1361,0102913000,Nagbukel,direct
dentist,0102913,citymun,0,0,0,5465,1361,0102913000,Nagbukel,direct
med_tech,0102913,citymun,1,0,1,5465,1361,0102913000,Nagbukel,direct
nutritionist,0102913,citymun,0,0,0,5465,1361,0102913000,Nagbukel,direct
sanitary_engineer,0102913,citymun,0,0,0,5465,1361,0102913000,Nagbukel,direct
sanitary_inspector,0102913,citymun,0,0,0,5465,1361,0102913000,Nagbukel,direct
physician,0102914,citymun,1,0,1,46427,11314,0102914000,Narvacan,direct
nurse,0102914,citymun,6,6,12,46427,11314,0102914000,Narvacan,direct
midwife,0102914,citymun,9,0,9,46427,11314,0102914000,Narvacan,direct
dentist,0102914,citymun,0,1,1,46427,11314,0102914000,Narvacan,direct
med_tech,0102914,citymun,4,0,4,46427,11314,0102914000,Narvacan,direct
nutritionist,0102914,citymun,0,0,0,46427,11314,0102914000,Narvacan,direct
sanitary_engineer,0102914,citymun,1,0,1,46427,11314,0102914000,Narvacan,direct
sanitary_inspector,0102914,citymun,1,0,1,46427,11314,0102914000,Narvacan,direct
physician,0102915,citymun,1,1,2,9344,2114,0102915000,Quirino,direct
nurse,0102915,citymun,1,3,4,9344,2114,0102915000,Quirino,direct
midwife,0102915,citymun,9,1,10,9344,2114,0102915000,Quirino,direct
dentist,0102915,citymun,0,0,0,9344,2114,0102915000,Quirino,direct
med_tech,0102915,citymun,1,0,1,9344,2114,0102915000,Quirino,direct
nutritionist,0102915,citymun,0,0,0,9344,2114,0102915000,Quirino,direct
sanitary_engineer,0102915,citymun,0,0,0,9344,2114,0102915000,Quirino,direct
sanitary_inspector,0102915,citymun,1,0,1,9344,2114,0102915000,Quirino,direct
physician,0102916,citymun,1,1,2,11110,2836,0102916000,Salcedo,direct
nurse,0102916,citymun,3,4,7,11110,2836,0102916000,Salcedo,direct
midwife,0102916,citymun,6,1,7,11110,2836,0102916000,Salcedo,direct
dentist,0102916,citymun,1,0,1,11110,2836,0102916000,Salcedo,direct
med_tech,0102916,citymun,1,0,1,11110,2836,0102916000,Salcedo,direct
nutritionist,0102916,citymun,0,0,0,11110,2836,0102916000,Salcedo,direct
sanitary_engineer,0102916,citymun,0,0,0,11110,2836,0102916000,Salcedo,direct
sanitary_inspector,0102916,citymun,1,0,1,11110,2836,0102916000,Salcedo,direct
physician,0102917,citymun,1,1,2,7226,1676,0102917000,San Emilio,direct
nurse,0102917,citymun,1,3,4,7226,1676,0102917000,San Emilio,direct
midwife,0102917,citymun,5,1,6,7226,1676,0102917000,San Emilio,direct
dentist,0102917,citymun,0,0,0,7226,1676,0102917000,San Emilio,direct
med_tech,0102917,citymun,1,0,1,7226,1676,0102917000,San Emilio,direct
nutritionist,0102917,citymun,0,0,0,7226,1676,0102917000,San Emilio,direct
sanitary_engineer,0102917,citymun,0,0,0,7226,1676,0102917000,San Emilio,direct
sanitary_inspector,0102917,citymun,1,0,1,7226,1676,0102917000,San Emilio,direct
physician,0102918,citymun,1,0,1,8381,2150,0102918000,San Esteban,direct
nurse,0102918,citymun,2,3,5,8381,2150,0102918000,San Esteban,direct
midwife,0102918,citymun,2,1,3,8381,2150,0102918000,San Esteban,direct
dentist,0102918,citymun,0,0,0,8381,2150,0102918000,San Esteban,direct
med_tech,0102918,citymun,2,0,2,8381,2150,0102918000,San Esteban,direct
nutritionist,0102918,citymun,0,0,0,8381,2150,0102918000,San Esteban,direct
sanitary_engineer,0102918,citymun,0,0,0,8381,2150,0102918000,San Esteban,direct
sanitary_inspector,0102918,citymun,0,0,0,8381,2150,0102918000,San Esteban,direct
physician,0102919,citymun,1,0,1,8190,1976,0102919000,San Ildefonso,direct
nurse,0102919,citymun,4,6,10,8190,1976,0102919000,San Ildefonso,direct
midwife,0102919,citymun,5,1,6,8190,1976,0102919000,San Ildefonso,direct
dentist,0102919,citymun,0,0,0,8190,1976,0102919000,San Ildefonso,direct
med_tech,0102919,citymun,1,1,2,8190,1976,0102919000,San Ildefonso,direct
nutritionist,0102919,citymun,0,0,0,8190,1976,0102919000,San Ildefonso,direct
sanitary_engineer,0102919,citymun,0,0,0,8190,1976,0102919000,San Ildefonso,direct
sanitary_inspector,0102919,citymun,1,0,1,8190,1976,0102919000,San Ildefonso,direct
physician,0102920,citymun,1,0,1,26674,6735,0102920000,San Juan,direct
nurse,0102920,citymun,1,4,5,26674,6735,0102920000,San Juan,direct
midwife,0102920,citymun,4,0,4,26674,6735,0102920000,San Juan,direct
dentist,0102920,citymun,0,0,0,26674,6735,0102920000,San Juan,direct
med_tech,0102920,citymun,2,0,2,26674,6735,0102920000,San Juan,direct
nutritionist,0102920,citymun,0,0,0,26674,6735,0102920000,San Juan,direct
sanitary_engineer,0102920,citymun,0,0,0,26674,6735,0102920000,San Juan,direct
sanitary_inspector,0102920,citymun,1,0,1,26674,6735,0102920000,San Juan,direct
physician,0102921,citymun,1,0,1,13118,3229,0102921000,San Vicente,direct
nurse,0102921,citymun,2,4,6,13118,3229,0102921000,San Vicente,direct
midwife,0102921,citymun,3,0,3,13118,3229,0102921000,San Vicente,direct
dentist,0102921,citymun,0,0,0,13118,3229,0102921000,San Vicente,direct
med_tech,0102921,citymun,1,0,1,13118,3229,0102921000,San Vicente,direct
nutritionist,0102921,citymun,0,0,0,13118,3229,0102921000,San Vicente,direct
sanitary_engineer,0102921,citymun,0,0,0,13118,3229,0102921000,San Vicente,direct
sanitary_inspector,0102921,citymun,1,0,1,13118,3229,0102921000,San Vicente,direct
physician,0102922,citymun,1,0,1,14992,3661,0102922000,Santa,direct
nurse,0102922,citymun,1,3,4,14992,3661,0102922000,Santa,direct
midwife,0102922,citymun,3,0,3,14992,3661,0102922000,Santa,direct
dentist,0102922,citymun,1,0,1,14992,3661,0102922000,Santa,direct
med_tech,0102922,citymun,2,0,2,14992,3661,0102922000,Santa,direct
nutritionist,0102922,citymun,0,0,0,14992,3661,0102922000,Santa,direct
sanitary_engineer,0102922,citymun,0,0,0,14992,3661,0102922000,Santa,direct
sanitary_inspector,0102922,citymun,1,0,1,14992,3661,0102922000,Santa,direct
physician,0102923,citymun,2,0,2,14493,3321,0102923000,Santa Catalina,direct
nurse,0102923,citymun,1,4,5,14493,3321,0102923000,Santa Catalina,direct
midwife,0102923,citymun,4,1,5,14493,3321,0102923000,Santa Catalina,direct
dentist,0102923,citymun,0,0,0,14493,3321,0102923000,Santa Catalina,direct
med_tech,0102923,citymun,3,0,3,14493,3321,0102923000,Santa Catalina,direct
nutritionist,0102923,citymun,0,0,0,14493,3321,0102923000,Santa Catalina,direct
sanitary_engineer,0102923,citymun,0,0,0,14493,3321,0102923000,Santa Catalina,direct
sanitary_inspector,0102923,citymun,1,0,1,14493,3321,0102923000,Santa Catalina,direct
